,STT,Loại giao dich,Giá tiền,Vị trí,Tầng,View,Hướng cửa chính,Số phòng ngủ,Số WC,Nội thất,Tiện ích,Giấy tờ,Gần bệnh viện,Gần trường học
114,115,đã thuê,2000000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",70,Sông Sài Gòn,Tây Bắc,1,1,TV,Phòng gym,Sổ hồng,Bệnh viện chợ Rẫy cách 1000m,Tiểu học 300 m
115,116,đã thuê,3400000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",71,Khu dân cư ABC,Tây Bắc,4,2,Máy giặt,Không có,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 200m,Mầm non cách 300m
116,117,đã thuê,1200000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",72,Suối Tiên,Nam,2,2,TV,Phòng yoga,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 200m,Mầm non cách 300m
117,118,đang bán,4000000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",42,Đầm Sen,Tây Bắc,2,3,TV,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện Nhi Đồng cách 1000m,THPT cách 200m
118,119,đã thuê,4450000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",71,Đầm Sen,Nam,4,3,Rèm,Nhà hàng,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 500m,Tiểu học 300 m
119,120,đang cho thuê,2500000000,"12 Tân Hưng, quận 1",71,Landmark 81,Đông,1,3,Tủ lạnh,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Tiểu học 700 m
120,121,đang bán,3600000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",25,Sân Vận Động,Đông Bắc,3,2,Ghế,Cửa hàng tiện lợi,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 100m,Mầm non cách 1500m
121,122,đang bán,4500000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",7,Quốc lộ 51,Tây,2,2,Máy lạnh,Phòng yoga,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,Tiểu học 300 m
122,123,đang cho thuê,2600000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",97,Suối Tiên,Đông,4,3,Máy lạnh,Cửu hàng giặt sấy,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 400m,THPT cách 200m
123,124,đã thuê,4800000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",13,Đầm Sen,Đông Bắc,1,2,TV,Hồ bơi,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,Tiểu học 300 m
124,125,đang cho thuê,3900000000 ,"12 Tân Hưng, quận 1",70,Suối Tiên,Nam,4,1,Bàn,Hồ bơi,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 500m,THPT cách 1300m
125,126,đang bán,2300000000,"12 Tân Hưng, quận 1",63,Suối Tiên,Đông Nam,4,2,Máy giặt,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện chợ Rẫy cách 1000m,Tiểu học cách 150m
126,127,đang bán,2500000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",10,Quốc lộ 51,Đông,2,1,Tủ lạnh,Công viên,Khác,Bệnh viện chợ Rẫy cách 500m,Tiểu học 700 m
127,128,đã thuê,1500000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",91,Đầm Sen,Tây Bắc,2,2,TV,Không có,Khác,Bệnh viện Đại học Y Dược TPHCM cách 400m,THPT cách 200m
128,129,đã thuê,3400000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",92,Khu dân cư ABC,Đông Bắc,4,1,Bếp,Phòng gym,Khác,Bệnh viện chợ Rẫy cách 1000m,Không có
129,130,đã bán,1500000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",96,Sân Vận Động,Đông,2,1,Bếp,Không có,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 500m,Tiểu học cách 150m
130,131,đang cho thuê,4300000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",56,Sân Vận Động,Tây Bắc,3,1,Tủ lạnh,Nhà hàng,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,Mầm non cách 1500m
131,132,đang bán,1600000000,"12 Tân Hưng, quận 1",20,Suối Tiên,Tây Bắc,4,1,Không có,Phòng yoga,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 1000m,Mầm non cách 300m
132,133,đang cho thuê,3500000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",43,Cầu Sài Gòn,Đông Bắc,3,1,TV,Cửa hàng tiện lợi,Sổ hồng,Bệnh viện Nhi Đồng cách 500m,Không có
133,134,đang cho thuê,3650000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",13,Cầu Sài Gòn,Bắc,1,3,Không có,Không có,Sổ hồng,Bệnh viện chợ Rẫy cách 400m,Mầm non cách 250m
134,135,đang bán,3400000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",74,Suối Tiên,Tây Bắc,4,2,Bàn,Phòng gym,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 500m,Mầm non cách 200m
135,136,đã thuê,4800000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",85,Quốc lộ 51,Đông Bắc,1,3,Máy lạnh,Công viên,Sổ hồng,Bệnh viện chợ Rẫy cách 500m,Mầm non cách 300m
136,137,đã thuê,1600000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",67,Không có ban công,Đông,2,2,Tủ lạnh,Công viên,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 500m,Mầm non cách 200m
137,138,đã bán,3200000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",34,Khu dân cư ABC,Bắc,2,1,Ghế,Nhà hàng,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 300m,THPT cách 1300m
138,139,đang cho thuê,4700000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",25,Đầm Sen,Tây Nam,4,3,Không có,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,Tiểu học 200 m
139,140,đã thuê,2800000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",69,Landmark 81,Tây Nam,2,3,Bếp,Phòng gym,Sổ hồng,Không có,THCS cách 1200m
140,141,đang cho thuê,3100000000,"12 Tân Hưng, quận 1",72,Sông Sài Gòn,Tây Nam,2,2,Bàn,Hồ bơi,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 200m,Tiểu học 200 m
141,142,đã thuê,4500000000,"12 Tân Hưng, quận 1",14,Phạm VĂn Đồng,Tây Nam,2,1,Bếp,Phòng gym,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,THPT cách 200m
142,143,đang cho thuê,3700000000,"12 Tân Hưng, quận 1",72,Không có ban công,Tây Nam,2,1,Máy giặt,Nhà hàng,Sổ hồng,Bệnh viện Nhi Đồng cách 1000m,Tiểu học 700 m
143,144,đã thuê,3800000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",13,Không có ban công,Đông Bắc,1,1,Máy giặt,Cửa hàng tiện lợi,Sổ hồng,Bệnh viện chợ Rẫy cách 1000m,Tiểu học 200 m
144,145,đang bán,3300000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",38,Quốc lộ 51,Tây Bắc,3,2,Ghế,Cửa hàng tiện lợi,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 200m,Tiểu học 200 m
145,146,đang cho thuê,2350000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",88,Không có ban công,Đông Nam,2,1,Không có,Phòng yoga,Sổ hồng,Bệnh viện chợ Rẫy cách 200m,THPT cách 1300m
146,147,đang bán,1500000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",54,Chung cư Bcons,Tây Nam,4,2,Tủ lạnh,Phòng gym,Khác,Bệnh viện chợ Rẫy cách 400m,Tiểu học 300 m
147,148,đang cho thuê,2900000000 ,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",44,Phạm VĂn Đồng,Bắc,4,2,Không có,Không có,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 100m,Tiểu học cách 150m
148,149,đã bán,4000000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",92,Đầm Sen,Tây Bắc,1,1,Máy lạnh,Phòng yoga,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,Tiểu học 700 m
149,150,đang cho thuê,3300000000,"12 Tân Hưng, quận 1",2,Landmark 81,Tây Bắc,3,2,Không có,Hồ bơi,Khác,Bệnh viện Đại học Y Dược TPHCM cách 100m,Mầm non cách 300m
150,151,đã bán,4500000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",47,Quốc lộ 51,Tây,4,1,Rèm,Không có,Khác,Bệnh viện Nhi Đồng cách 400m,Tiểu học 200 m
151,152,đã thuê,4450000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",22,Đầm Sen,Đông Nam,3,2,Máy giặt,Phòng yoga,Khác,Bệnh viện Nhi Đồng cách 100m,THPT cách 300m
152,153,đang bán,4200000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",47,Cầu Sài Gòn,Đông,2,1,Không có,Không có,Khác,Bệnh viện Nhi Đồng cách 100m,Tiểu học cách 150m
153,154,đã thuê,1100000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",49,Sông Sài Gòn,Bắc,1,2,Bàn,Hồ bơi,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 300m,THPT cách 1300m
154,155,đang bán,2750000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",36,Khu dân cư ABC,Tây,2,2,Ghế,Nhà hàng,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 200m,THPT cách 1300m
155,156,đang cho thuê,3800000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",26,Quốc lộ 51,Tây,3,1,TV,Hồ bơi,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,Tiểu học 700 m
156,157,đã bán,1500000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",17,Xa lộ Hà Nội,Nam,2,3,Ghế,Không có,Sổ hồng,Bệnh viện chợ Rẫy cách 1000m,Tiểu học 300 m
157,158,đang cho thuê,3650000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",62,Xa lộ Hà Nội,Đông,2,2,TV,Hồ bơi,Khác,Bệnh viện Nhi Đồng cách 100m,THCS cách 1300m
158,159,đã thuê,3900000000 ,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",47,Khu dân cư ABC,Bắc,4,1,Bếp,Không có,Hợp dồng mua bán,Không có,Mầm non cách 1500m
159,160,đang bán,3500000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",58,Quốc lộ 51,Đông,2,1,Bếp,Hồ bơi,Sổ hồng,Bệnh viện chợ Rẫy cách 500m,Tiểu học 200 m
160,161,đã bán,4200000000,"12 Tân Hưng, quận 1",40,Không có ban công,Đông Bắc,4,2,Không có,Hồ bơi,Sổ hồng,Bệnh viện Nhi Đồng cách 200m,THCS cách 120m
161,162,đã bán,2800000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",82,Xa lộ Hà Nội,Tây Bắc,4,2,Không có,Phòng yoga,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,THCS cách 120m
162,163,đang cho thuê,1700000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",11,Cầu Sài Gòn,Tây Bắc,1,3,Không có,Phòng gym,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 1000m,Không có
163,164,đang bán,2000000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",6,Đầm Sen,Tây Bắc,3,1,Bếp,Phòng gym,Sổ hồng,Bệnh viện chợ Rẫy cách 300m,THCS cách 1300m
164,165,đang cho thuê,1200000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",82,Sông Sài Gòn,Tây Nam,3,3,Bàn,Cửu hàng giặt sấy,Khác,Bệnh viện Đại học Y Dược TPHCM cách 100m,THPT cách 200m
165,166,đang bán,3300000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",47,Suối Tiên,Đông,1,2,Bàn,Cửa hàng tiện lợi,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 400m,THCS cách 120m
166,167,đã bán,1500000000,"12 Tân Hưng, quận 1",84,Không có ban công,Đông,4,2,Bàn,Không có,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 2000m,THPT cách 300m
167,168,đang bán,4050000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",49,Sông Sài Gòn,Tây Bắc,2,1,Máy giặt,Cửa hàng tiện lợi,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 100m,Mầm non cách 300m
168,169,đã bán,2350000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",10,Sông Sài Gòn,Tây Nam,4,3,Tủ lạnh,Nhà hàng,Khác,Bệnh viện Đại học Y Dược TPHCM cách 200m,Tiểu học cách 150m
169,170,đang bán,1950000000 ,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",89,Suối Tiên,Tây Nam,2,1,TV,Nhà hàng,Sổ hồng,Bệnh viện Nhi Đồng cách 200m,Mầm non cách 200m
170,171,đã bán,2400000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",66,Landmark 81,Đông Nam,3,3,Máy lạnh,Không có,Khác,Bệnh viện Nhi Đồng cách 400m,Tiểu học cách 150m
171,172,đang cho thuê,3400000000,"12 Tân Hưng, quận 1",88,Sông Sài Gòn,Nam,4,2,TV,Không có,Khác,Bệnh viện chợ Rẫy cách 400m,THPT cách 300m
172,173,đang bán,1800000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",45,Xa lộ Hà Nội,Đông Bắc,4,2,TV,Phòng yoga,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,Không có
173,174,đã thuê,3600000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",56,Chung cư Bcons,Nam,3,2,Ghế,Nhà hàng,Sổ hồng,Bệnh viện Nhi Đồng cách 200m,Tiểu học 300 m
174,175,đã bán,4050000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",4,Chung cư Bcons,Nam,2,2,Tủ lạnh,Phòng yoga,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 300m,Mầm non cách 1500m
175,176,đã bán,4600000000,"12 Tân Hưng, quận 1",52,Landmark 81,Bắc,2,2,Máy lạnh,Không có,Khác,Bệnh viện chợ Rẫy cách 1000m,Tiểu học 700 m
176,177,đang bán,3300000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",77,Phạm VĂn Đồng,Đông Bắc,1,3,Máy lạnh,Hồ bơi,Khác,Bệnh viện Nhi Đồng cách 200m,THCS cách 120m
177,178,đã bán,3900000000 ,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",69,Không có ban công,Tây Bắc,4,2,Bếp,Công viên,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 1000m,Mầm non cách 250m
178,179,đang bán,2300000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",3,Landmark 81,Bắc,4,3,Ghế,Công viên,Sổ hồng,Bệnh viện chợ Rẫy cách 300m,Tiểu học 500 m
179,180,đang cho thuê,2300000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",83,Sông Sài Gòn,Nam,1,2,Tủ lạnh,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 100m,Mầm non cách 200m
180,181,đã thuê,4050000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",39,Suối Tiên,Nam,1,1,Rèm,Cửa hàng tiện lợi,Khác,Bệnh viện Nhi Đồng cách 400m,THPT cách 300m
181,182,đã bán,3200000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",63,Phạm VĂn Đồng,Tây,3,1,Rèm,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện chợ Rẫy cách 200m,THCS cách 1200m
182,183,đang bán,4700000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",48,Cầu Sài Gòn,Đông Nam,4,3,Ghế,Phòng gym,Sổ hồng,Bệnh viện Nhi Đồng cách 1000m,THPT cách 1300m
183,184,đã thuê,3550000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",79,Không có ban công,Nam,3,3,Máy lạnh,Phòng yoga,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,Tiểu học cách 150m
184,185,đã thuê,4900000000 ,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",75,Phạm VĂn Đồng,Đông Nam,1,1,Không có,Không có,Khác,Bệnh viện chợ Rẫy cách 500m,Tiểu học 700 m
185,186,đã thuê,2500000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",70,Đầm Sen,Tây,2,3,Không có,Công viên,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Không có
186,187,đã bán,2300000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",65,Chung cư Bcons,Đông,1,3,Bếp,Cửu hàng giặt sấy,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 500m,Không có
187,188,đã bán,1100000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",82,Landmark 81,Đông,2,1,Bếp,Cửa hàng tiện lợi,Khác,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Tiểu học 500 m
188,189,đang bán,2100000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",63,Sông Sài Gòn,Tây Bắc,1,3,Máy lạnh,Không có,Sổ hồng,Không có,THPT cách 1300m
189,190,đã thuê,4600000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",33,Quốc lộ 51,Đông,4,1,Rèm,Phòng gym,Khác,Bệnh viện Đại học Y Dược TPHCM cách 100m,THCS cách 1200m
190,191,đang cho thuê,4000000000,"12 Tân Hưng, quận 1",65,Suối Tiên,Đông,3,3,Ghế,Phòng yoga,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 200m,Tiểu học 200 m
191,192,đã bán,2350000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",83,Suối Tiên,Tây,1,1,Máy lạnh,Hồ bơi,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 200m,THCS cách 120m
192,193,đã bán,2000000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",13,Sân Vận Động,Nam,3,2,Bàn,Phòng yoga,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,THPT cách 300m
193,194,đã bán,2700000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",20,Xa lộ Hà Nội,Nam,3,1,TV,Phòng gym,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 400m,THPT cách 300m
194,195,đã bán,3000000000,"12 Tân Hưng, quận 1",76,Khu dân cư ABC,Đông Nam,1,3,Bàn,Phòng gym,Sổ hồng,Bệnh viện chợ Rẫy cách 300m,Mầm non cách 300m
195,196,đã thuê,3550000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",26,Sông Sài Gòn,Tây,4,3,Máy lạnh,Không có,Khác,Bệnh viện Đại học Y Dược TPHCM cách 200m,THCS cách 1300m
196,197,đang cho thuê,1900000000 ,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",92,Sông Sài Gòn,Bắc,3,1,Bàn,Nhà hàng,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 100m,Không có
197,198,đang bán,1000000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",44,Xa lộ Hà Nội,Tây Bắc,4,1,Máy giặt,Hồ bơi,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 100m,Mầm non cách 300m
198,199,đã thuê,4200000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",70,Landmark 81,Tây,2,1,Không có,Cửa hàng tiện lợi,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 100m,Mầm non cách 300m
199,200,đã bán,4400000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",55,Sông Sài Gòn,Bắc,4,2,Ghế,Không có,Khác,Bệnh viện chợ Rẫy cách 1000m,Mầm non cách 300m
200,201,đã thuê,3200000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",77,Sân Vận Động,Tây Bắc,1,2,TV,Cửa hàng tiện lợi,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 300m,Mầm non cách 200m
201,202,đang cho thuê,4700000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",57,Landmark 81,Bắc,3,3,Không có,Phòng yoga,Sổ hồng,Bệnh viện chợ Rẫy cách 300m,Không có
202,203,đã thuê,3500000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",90,Landmark 81,Nam,2,3,Tủ lạnh,Không có,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 500m,Không có
203,204,đã thuê,1100000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",78,Không có ban công,Tây Bắc,1,1,Máy giặt,Nhà hàng,Sổ hồng,Bệnh viện chợ Rẫy cách 300m,THCS cách 1200m
204,205,đã bán,1500000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",82,Không có ban công,Đông Bắc,4,2,Máy lạnh,Công viên,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 300m,Tiểu học cách 150m
205,206,đã bán,2600000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",59,Cầu Sài Gòn,Đông Nam,4,2,Bếp,Không có,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 100m,THPT cách 1300m
206,207,đang bán,4000000000,"12 Tân Hưng, quận 1",60,Phạm VĂn Đồng,Tây,2,1,Rèm,Cửa hàng tiện lợi,Khác,Bệnh viện chợ Rẫy cách 1000m,Tiểu học cách 150m
207,208,đã bán,1350000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",91,Cầu Sài Gòn,Đông Nam,2,3,Rèm,Phòng gym,Hợp dồng mua bán,Không có,THCS cách 120m
208,209,đã bán,4750000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",17,Cầu Sài Gòn,Đông Nam,2,3,Không có,Hồ bơi,Sổ hồng,Không có,Không có
209,210,đã bán,2700000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",98,Suối Tiên,Đông,1,1,Rèm,Phòng yoga,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 1000m,THCS cách 1300m
210,211,đang cho thuê,3400000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",6,Khu dân cư ABC,Bắc,2,3,Bếp,Phòng yoga,Khác,Bệnh viện Đại học Y Dược TPHCM cách 300m,Mầm non cách 200m
211,212,đang bán,3100000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",95,Cầu Sài Gòn,Đông Nam,2,2,Bếp,Công viên,Khác,Bệnh viện Nhi Đồng cách 500m,Tiểu học 700 m
212,213,đang cho thuê,2800000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",60,Sân Vận Động,Bắc,1,2,Không có,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,Tiểu học 700 m
213,214,đã bán,1950000000 ,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",74,Cầu Sài Gòn,Bắc,2,2,Tủ lạnh,Phòng gym,Hợp dồng mua bán,Không có,Tiểu học 700 m
214,215,đã thuê,4900000000 ,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",79,Không có ban công,Đông,4,1,Bàn,Nhà hàng,Sổ hồng,Không có,Tiểu học cách 150m
215,216,đang bán,3600000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",62,Không có ban công,Đông Nam,1,2,Ghế,Không có,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 300m,THPT cách 200m
216,217,đã thuê,1950000000 ,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",8,Chung cư Bcons,Tây,3,3,TV,Cửa hàng tiện lợi,Khác,Bệnh viện chợ Rẫy cách 200m,Không có
217,218,đã bán,4350000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",58,Phạm VĂn Đồng,Tây Bắc,1,3,Tủ lạnh,Không có,Khác,Bệnh viện Nhi Đồng cách 500m,Tiểu học cách 150m
218,219,đang bán,1200000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",70,Chung cư Bcons,Tây,1,1,Máy lạnh,Không có,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 500m,THPT cách 200m
219,220,đã thuê,4950000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",12,Suối Tiên,Tây Nam,3,1,Rèm,Cửa hàng tiện lợi,Khác,Bệnh viện chợ Rẫy cách 400m,Mầm non cách 300m
220,221,đã thuê,1400000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",11,Sông Sài Gòn,Tây Bắc,4,1,TV,Phòng gym,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 300m,Tiểu học 200 m
221,222,đang bán,2350000000,"12 Tân Hưng, quận 1",57,Landmark 81,Đông Bắc,4,3,Tủ lạnh,Cửa hàng tiện lợi,Sổ hồng,Bệnh viện Nhi Đồng cách 400m,Tiểu học 200 m
222,223,đang cho thuê,4500000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",19,Chung cư Bcons,Nam,4,2,Rèm,Hồ bơi,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 200m,THCS cách 1200m
223,224,đang cho thuê,2600000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",67,Phạm VĂn Đồng,Đông,4,3,Ghế,Cửu hàng giặt sấy,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,THPT cách 300m
224,225,đã bán,4300000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",66,Sông Sài Gòn,Tây Nam,3,3,Bếp,Hồ bơi,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 1000m,Mầm non cách 300m
225,226,đang cho thuê,3400000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",74,Sông Sài Gòn,Tây Nam,3,3,Máy lạnh,Cửu hàng giặt sấy,Khác,Bệnh viện Nhi Đồng cách 400m,Mầm non cách 200m
226,227,đang cho thuê,1450000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",73,Sông Sài Gòn,Nam,1,1,Bàn,Nhà hàng,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,Mầm non cách 1500m
227,228,đang bán,3100000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",93,Suối Tiên,Tây,4,3,Máy giặt,Không có,Khác,Bệnh viện Nhi Đồng cách 100m,THCS cách 1300m
228,229,đang bán,1350000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",39,Sông Sài Gòn,Đông Bắc,4,1,Tủ lạnh,Không có,Khác,Bệnh viện Nhi Đồng cách 500m,THCS cách 120m
229,230,đang bán,1350000000,"12 Tân Hưng, quận 1",68,Suối Tiên,Bắc,1,3,Không có,Nhà hàng,Khác,Bệnh viện Nhi Đồng cách 1000m,Mầm non cách 1500m
